,phage,host
1487,nc 021801,listeria monocytogenes
1488,nc 023007,listeria monocytogenes
1489,nc 024359,listeria monocytogenes
1490,nc 024360,listeria monocytogenes
1491,nc 024364,listeria monocytogenes
1492,nc 024375,listeria monocytogenes
1493,nc 024383,listeria monocytogenes
1494,nc 024384,listeria monocytogenes
1495,nc 024387,listeria monocytogenes
1496,nc 024392,listeria monocytogenes
1497,nc 024787,listeria monocytogenes
1498,nc 025423,listeria monocytogenes
1499,nc 025440,listeria monocytogenes
1500,nc 026607,listeria monocytogenes
1501,nc 027352,listeria monocytogenes
1502,nc 027375,listeria monocytogenes
1503,nc 028795,listeria monocytogenes
1504,nc 028871,listeria monocytogenes
1505,nc 028929,listeria monocytogenes
1506,nc 029010,listeria monocytogenes
1507,nc 029102,listeria monocytogenes
1508,nc 031053,listeria monocytogenes
1509,nc 031095,listeria monocytogenes
1510,nc 041862,listeria monocytogenes
1511,nc 042048,listeria monocytogenes
1512,nc 008201,mannheimia haemolytica
1513,nc 028743,mannheimia haemolytica
1514,nc 028766,mannheimia haemolytica
1515,nc 028853,mannheimia haemolytica
1516,nc 028898,mannheimia haemolytica
1517,nc 028956,mannheimia haemolytica
1518,nc 025431,mesorhizobium loti
1519,nc 042099,microbacterium foliorum
1520,nc 042109,microbacterium foliorum
1521,nc 042110,microbacterium foliorum
1522,nc 042111,microbacterium foliorum
1523,nc 042117,microbacterium foliorum
1524,nc 042118,microbacterium foliorum
1525,nc 042119,microbacterium foliorum
1526,nc 023859,microbacterium oxydans
1527,nc 029002,microcystis aeruginosa
1528,nc 011085,morganella morganii
1529,nc 023591,mycobacterium abscessus
1530,nc 003387,mycobacterium avium
1531,nc 021063,mycobacterium avium
1532,nc 021347,mycobacterium phlei
1533,nc 028662,mycobacterium phlei
1534,nc 002656,mycobacterium smegmatis
1535,nc 009820,mycobacterium smegmatis
1536,nc 009993,mycobacterium smegmatis
1537,nc 011039,mycobacterium smegmatis
1538,nc 011044,mycobacterium smegmatis
1539,nc 011267,mycobacterium smegmatis
1540,nc 011273,mycobacterium smegmatis
1541,nc 011285,mycobacterium smegmatis
1542,nc 011287,mycobacterium smegmatis
1543,nc 011288,mycobacterium smegmatis
1544,nc 011289,mycobacterium smegmatis
1545,nc 011290,mycobacterium smegmatis
1546,nc 011291,mycobacterium smegmatis
1547,nc 011292,mycobacterium smegmatis
1548,nc 012027,mycobacterium smegmatis
1549,nc 012788,mycobacterium smegmatis
1550,nc 013650,mycobacterium smegmatis
1551,nc 013694,mycobacterium smegmatis
1552,nc 013936,mycobacterium smegmatis
1553,nc 014458,mycobacterium smegmatis
1554,nc 014459,mycobacterium smegmatis
1555,nc 014461,mycobacterium smegmatis
1556,nc 014901,mycobacterium smegmatis
1557,nc 015584,mycobacterium smegmatis
1558,nc 017973,mycobacterium smegmatis
1559,nc 020876,mycobacterium smegmatis
1560,nc 021061,mycobacterium smegmatis
1561,nc 021063,mycobacterium smegmatis
1562,nc 021297,mycobacterium smegmatis
1563,nc 021299,mycobacterium smegmatis
1564,nc 021301,mycobacterium smegmatis
1565,nc 021302,mycobacterium smegmatis
1566,nc 021305,mycobacterium smegmatis
1567,nc 021306,mycobacterium smegmatis
1568,nc 021307,mycobacterium smegmatis
1569,nc 021308,mycobacterium smegmatis
1570,nc 021309,mycobacterium smegmatis
1571,nc 021310,mycobacterium smegmatis
1572,nc 021311,mycobacterium smegmatis
1573,nc 021324,mycobacterium smegmatis
1574,nc 021346,mycobacterium smegmatis
1575,nc 021348,mycobacterium smegmatis
1576,nc 021349,mycobacterium smegmatis
1577,nc 021533,mycobacterium smegmatis
1578,nc 021535,mycobacterium smegmatis
1579,nc 021538,mycobacterium smegmatis
1580,nc 022053,mycobacterium smegmatis
1581,nc 022055,mycobacterium smegmatis
1582,nc 022057,mycobacterium smegmatis
1583,nc 022058,mycobacterium smegmatis
1584,nc 022059,mycobacterium smegmatis
1585,nc 022060,mycobacterium smegmatis
1586,nc 022063,mycobacterium smegmatis
1587,nc 022065,mycobacterium smegmatis
1588,nc 022066,mycobacterium smegmatis
1589,nc 022067,mycobacterium smegmatis
1590,nc 022068,mycobacterium smegmatis
1591,nc 022069,mycobacterium smegmatis
1592,nc 022070,mycobacterium smegmatis
1593,nc 022085,mycobacterium smegmatis
1594,nc 022086,mycobacterium smegmatis
1595,nc 022087,mycobacterium smegmatis
1596,nc 022328,mycobacterium smegmatis
1597,nc 022329,mycobacterium smegmatis
1598,nc 022330,mycobacterium smegmatis
1599,nc 022331,mycobacterium smegmatis
1600,nc 022753,mycobacterium smegmatis
1601,nc 022965,mycobacterium smegmatis
1602,nc 022969,mycobacterium smegmatis
1603,nc 022973,mycobacterium smegmatis
1604,nc 022975,mycobacterium smegmatis
1605,nc 022976,mycobacterium smegmatis
1606,nc 022977,mycobacterium smegmatis
1607,nc 022979,mycobacterium smegmatis
1608,nc 022981,mycobacterium smegmatis
1609,nc 022983,mycobacterium smegmatis
1610,nc 022984,mycobacterium smegmatis
1611,nc 022985,mycobacterium smegmatis
1612,nc 022988,mycobacterium smegmatis
1613,nc 023498,mycobacterium smegmatis
1614,nc 023552,mycobacterium smegmatis
1615,nc 023553,mycobacterium smegmatis
1616,nc 023554,mycobacterium smegmatis
1617,nc 023562,mycobacterium smegmatis
1618,nc 023563,mycobacterium smegmatis
1619,nc 023564,mycobacterium smegmatis
1620,nc 023565,mycobacterium smegmatis
1621,nc 023572,mycobacterium smegmatis
1622,nc 023577,mycobacterium smegmatis
1623,nc 023578,mycobacterium smegmatis
1624,nc 023580,mycobacterium smegmatis
1625,nc 023597,mycobacterium smegmatis
1626,nc 023604,mycobacterium smegmatis
1627,nc 023606,mycobacterium smegmatis
1628,nc 023609,mycobacterium smegmatis
1629,nc 023686,mycobacterium smegmatis
1630,nc 023687,mycobacterium smegmatis
1631,nc 023689,mycobacterium smegmatis
1632,nc 023690,mycobacterium smegmatis
1633,nc 023691,mycobacterium smegmatis
1634,nc 023692,mycobacterium smegmatis
1635,nc 023695,mycobacterium smegmatis
1636,nc 023696,mycobacterium smegmatis
1637,nc 023697,mycobacterium smegmatis
1638,nc 023698,mycobacterium smegmatis
1639,nc 023699,mycobacterium smegmatis
1640,nc 023701,mycobacterium smegmatis
1641,nc 023702,mycobacterium smegmatis
1642,nc 023703,mycobacterium smegmatis
1643,nc 023704,mycobacterium smegmatis
1644,nc 023705,mycobacterium smegmatis
1645,nc 023707,mycobacterium smegmatis
1646,nc 023708,mycobacterium smegmatis
1647,nc 023709,mycobacterium smegmatis
1648,nc 023710,mycobacterium smegmatis
1649,nc 023711,mycobacterium smegmatis
1650,nc 023712,mycobacterium smegmatis
1651,nc 023713,mycobacterium smegmatis
1652,nc 023714,mycobacterium smegmatis
1653,nc 023716,mycobacterium smegmatis
1654,nc 023720,mycobacterium smegmatis
1655,nc 023721,mycobacterium smegmatis
1656,nc 023723,mycobacterium smegmatis
1657,nc 023724,mycobacterium smegmatis
1658,nc 023725,mycobacterium smegmatis
1659,nc 023726,mycobacterium smegmatis
1660,nc 023727,mycobacterium smegmatis
1661,nc 023728,mycobacterium smegmatis
1662,nc 023729,mycobacterium smegmatis
1663,nc 023730,mycobacterium smegmatis
1664,nc 023731,mycobacterium smegmatis
1665,nc 023732,mycobacterium smegmatis
1666,nc 023733,mycobacterium smegmatis
1667,nc 023737,mycobacterium smegmatis
1668,nc 023738,mycobacterium smegmatis
1669,nc 023739,mycobacterium smegmatis
1670,nc 023740,mycobacterium smegmatis
1671,nc 023741,mycobacterium smegmatis
1672,nc 023742,mycobacterium smegmatis
1673,nc 023745,mycobacterium smegmatis
1674,nc 023746,mycobacterium smegmatis
1675,nc 023747,mycobacterium smegmatis
1676,nc 023748,mycobacterium smegmatis
1677,nc 023862,mycobacterium smegmatis
1678,nc 024135,mycobacterium smegmatis
1679,nc 024136,mycobacterium smegmatis
1680,nc 024138,mycobacterium smegmatis
1681,nc 024141,mycobacterium smegmatis
1682,nc 024143,mycobacterium smegmatis
1683,nc 024147,mycobacterium smegmatis
1684,nc 024148,mycobacterium smegmatis
1685,nc 024209,mycobacterium smegmatis
1686,nc 024363,mycobacterium smegmatis
1687,nc 024366,mycobacterium smegmatis
1688,nc 024368,mycobacterium smegmatis
1689,nc 024371,mycobacterium smegmatis
1690,nc 025433,mycobacterium smegmatis
1691,nc 025438,mycobacterium smegmatis
1692,nc 026583,mycobacterium smegmatis
1693,nc 026584,mycobacterium smegmatis
1694,nc 026585,mycobacterium smegmatis
1695,nc 026589,mycobacterium smegmatis
1696,nc 026590,mycobacterium smegmatis
1697,nc 026591,mycobacterium smegmatis
1698,nc 026593,mycobacterium smegmatis
1699,nc 026596,mycobacterium smegmatis
1700,nc 026598,mycobacterium smegmatis
1701,nc 026603,mycobacterium smegmatis
1702,nc 026604,mycobacterium smegmatis
1703,nc 026605,mycobacterium smegmatis
1704,nc 027365,mycobacterium smegmatis
1705,nc 027985,mycobacterium smegmatis
1706,nc 028654,mycobacterium smegmatis
1707,nc 028658,mycobacterium smegmatis
1708,nc 028674,mycobacterium smegmatis
1709,nc 028678,mycobacterium smegmatis
1710,nc 028680,mycobacterium smegmatis
1711,nc 028681,mycobacterium smegmatis
1712,nc 028682,mycobacterium smegmatis
1713,nc 028687,mycobacterium smegmatis
1714,nc 028689,mycobacterium smegmatis
1715,nc 028690,mycobacterium smegmatis
1716,nc 028691,mycobacterium smegmatis
1717,nc 028742,mycobacterium smegmatis
1718,nc 028744,mycobacterium smegmatis
1719,nc 028747,mycobacterium smegmatis
1720,nc 028751,mycobacterium smegmatis
1721,nc 028759,mycobacterium smegmatis
1722,nc 028778,mycobacterium smegmatis
1723,nc 028779,mycobacterium smegmatis
1724,nc 028784,mycobacterium smegmatis
1725,nc 028785,mycobacterium smegmatis
1726,nc 028791,mycobacterium smegmatis
1727,nc 028792,mycobacterium smegmatis
1728,nc 028794,mycobacterium smegmatis
1729,nc 028796,mycobacterium smegmatis
1730,nc 028798,mycobacterium smegmatis
1731,nc 028801,mycobacterium smegmatis
1732,nc 028803,mycobacterium smegmatis
1733,nc 028804,mycobacterium smegmatis
1734,nc 028810,mycobacterium smegmatis
1735,nc 028813,mycobacterium smegmatis
1736,nc 028815,mycobacterium smegmatis
1737,nc 028823,mycobacterium smegmatis
1738,nc 028828,mycobacterium smegmatis
1739,nc 028832,mycobacterium smegmatis
1740,nc 028842,mycobacterium smegmatis
1741,nc 028843,mycobacterium smegmatis
1742,nc 028844,mycobacterium smegmatis
1743,nc 028846,mycobacterium smegmatis
1744,nc 028849,mycobacterium smegmatis
1745,nc 028852,mycobacterium smegmatis
1746,nc 028860,mycobacterium smegmatis
1747,nc 028861,mycobacterium smegmatis
1748,nc 028869,mycobacterium smegmatis
1749,nc 028874,mycobacterium smegmatis
1750,nc 028876,mycobacterium smegmatis
1751,nc 028877,mycobacterium smegmatis
1752,nc 028878,mycobacterium smegmatis
1753,nc 028889,mycobacterium smegmatis
1754,nc 028897,mycobacterium smegmatis
1755,nc 028906,mycobacterium smegmatis
1756,nc 028907,mycobacterium smegmatis
1757,nc 028910,mycobacterium smegmatis
1758,nc 028912,mycobacterium smegmatis
1759,nc 028914,mycobacterium smegmatis
1760,nc 028920,mycobacterium smegmatis
1761,nc 028922,mycobacterium smegmatis
1762,nc 028928,mycobacterium smegmatis
1763,nc 028932,mycobacterium smegmatis
1764,nc 028934,mycobacterium smegmatis
1765,nc 028936,mycobacterium smegmatis
1766,nc 028937,mycobacterium smegmatis
1767,nc 028941,mycobacterium smegmatis
1768,nc 028942,mycobacterium smegmatis
1769,nc 028946,mycobacterium smegmatis
1770,nc 028947,mycobacterium smegmatis
1771,nc 028953,mycobacterium smegmatis
1772,nc 028960,mycobacterium smegmatis
1773,nc 028961,mycobacterium smegmatis
1774,nc 028965,mycobacterium smegmatis
1775,nc 028968,mycobacterium smegmatis
1776,nc 028978,mycobacterium smegmatis
1777,nc 028979,mycobacterium smegmatis
1778,nc 028986,mycobacterium smegmatis
1779,nc 029018,mycobacterium smegmatis
1780,nc 029043,mycobacterium smegmatis
1781,nc 029044,mycobacterium smegmatis
1782,nc 029059,mycobacterium smegmatis
1783,nc 029077,mycobacterium smegmatis
1784,nc 029079,mycobacterium smegmatis
1785,nc 029093,mycobacterium smegmatis
1786,nc 031035,mycobacterium smegmatis
1787,nc 031041,mycobacterium smegmatis
1788,nc 031067,mycobacterium smegmatis
1789,nc 031080,mycobacterium smegmatis
1790,nc 031102,mycobacterium smegmatis
1791,nc 031124,mycobacterium smegmatis
1792,nc 031238,mycobacterium smegmatis
1793,nc 031243,mycobacterium smegmatis
1794,nc 031253,mycobacterium smegmatis
1795,nc 031256,mycobacterium smegmatis
1796,nc 031257,mycobacterium smegmatis
1797,nc 031261,mycobacterium smegmatis
1798,nc 031262,mycobacterium smegmatis
1799,nc 031263,mycobacterium smegmatis
1800,nc 031266,mycobacterium smegmatis
1801,nc 031277,mycobacterium smegmatis
1802,nc 031279,mycobacterium smegmatis
1803,nc 031281,mycobacterium smegmatis
1804,nc 041844,mycobacterium smegmatis
1805,nc 041846,mycobacterium smegmatis
1806,nc 041847,mycobacterium smegmatis
1807,nc 041850,mycobacterium smegmatis
1808,nc 041852,mycobacterium smegmatis
1809,nc 041853,mycobacterium smegmatis
1810,nc 041855,mycobacterium smegmatis
1811,nc 041882,mycobacterium smegmatis
1812,nc 041888,mycobacterium smegmatis
1813,nc 041901,mycobacterium smegmatis
1814,nc 041965,mycobacterium smegmatis
1815,nc 041969,mycobacterium smegmatis
1816,nc 041970,mycobacterium smegmatis
1817,nc 041971,mycobacterium smegmatis
1818,nc 041982,mycobacterium smegmatis
1819,nc 041983,mycobacterium smegmatis
1820,nc 041984,mycobacterium smegmatis
1821,nc 041985,mycobacterium smegmatis
1822,nc 041986,mycobacterium smegmatis
1823,nc 041987,mycobacterium smegmatis
1824,nc 041988,mycobacterium smegmatis
1825,nc 041989,mycobacterium smegmatis
1826,nc 041993,mycobacterium smegmatis
1827,nc 042027,mycobacterium smegmatis
1828,nc 042030,mycobacterium smegmatis
1829,nc 042031,mycobacterium smegmatis
1830,nc 042032,mycobacterium smegmatis
1831,nc 042033,mycobacterium smegmatis
1832,nc 042034,mycobacterium smegmatis
1833,nc 042035,mycobacterium smegmatis
1834,nc 042036,mycobacterium smegmatis
1835,nc 042050,mycobacterium smegmatis
1836,nc 042055,mycobacterium smegmatis
1837,nc 042308,mycobacterium smegmatis
1838,nc 042309,mycobacterium smegmatis
1839,nc 042310,mycobacterium smegmatis
1840,nc 042311,mycobacterium smegmatis
1841,nc 042312,mycobacterium smegmatis
1842,nc 042313,mycobacterium smegmatis
1843,nc 042314,mycobacterium smegmatis
1844,nc 042315,mycobacterium smegmatis
1845,nc 042316,mycobacterium smegmatis
1846,nc 042317,mycobacterium smegmatis
1847,nc 042318,mycobacterium smegmatis
1848,nc 042319,mycobacterium smegmatis
1849,nc 042320,mycobacterium smegmatis
1850,nc 042321,mycobacterium smegmatis
1851,nc 042322,mycobacterium smegmatis
1852,nc 042323,mycobacterium smegmatis
1853,nc 042324,mycobacterium smegmatis
1854,nc 042325,mycobacterium smegmatis
1855,nc 042326,mycobacterium smegmatis
1856,nc 042327,mycobacterium smegmatis
1857,nc 042328,mycobacterium smegmatis
1858,nc 042329,mycobacterium smegmatis
1859,nc 042330,mycobacterium smegmatis
1860,nc 042331,mycobacterium smegmatis
1861,nc 042332,mycobacterium smegmatis
1862,nc 042333,mycobacterium smegmatis
1863,nc 042334,mycobacterium smegmatis
1864,nc 042335,mycobacterium smegmatis
1865,nc 042336,mycobacterium smegmatis
1866,nc 042337,mycobacterium smegmatis
1867,nc 042338,mycobacterium smegmatis
1868,nc 042339,mycobacterium smegmatis
1869,nc 042340,mycobacterium smegmatis
1870,nc 042341,mycobacterium smegmatis
1871,nc 043767,mycobacterium smegmatis
1872,nc 001900,mycobacterium tuberculosis
1873,nc 021318,mycobacterium tuberculosis
1874,nc 021338,mycobacterium tuberculosis
1875,nc 021556,mycobacterium tuberculosis
1876,nc 023744,mycobacterium tuberculosis
1877,nc 001942,mycoplasma arthritidis
1878,nc 002515,mycoplasma pulmonis
1879,nc 003085,myxococcus xanthus
1880,nc 004084,natrialba magadii
1881,nc 016569,nocardia brasiliensis
1882,nc 021063,nocardia brasiliensis
1883,nc 021063,nocardia otitidiscaviarum
1884,nc 024358,nostoc linckia
1885,nc 028758,paenibacillus alvei
1886,nc 028758,paenibacillus amylolyticus
1887,nc 028758,paenibacillus apiarius
1888,nc 028758,paenibacillus castaneae
1889,nc 028758,paenibacillus elgii
1890,nc 028758,paenibacillus fonticola
1891,nc 021558,paenibacillus glucanolyticus
1892,nc 028758,paenibacillus humicus
1893,nc 028758,paenibacillus lactis
1894,nc 021865,paenibacillus larvae
1895,nc 028746,paenibacillus larvae
1896,nc 028758,paenibacillus larvae
1897,nc 028767,paenibacillus larvae
1898,nc 028788,paenibacillus larvae
1899,nc 028837,paenibacillus larvae
1900,nc 028841,paenibacillus larvae
1901,nc 028851,paenibacillus larvae
1902,nc 028854,paenibacillus larvae
1903,nc 028930,paenibacillus larvae
1904,nc 029084,paenibacillus larvae
1905,nc 041867,paenibacillus larvae
1906,nc 041909,paenibacillus larvae
1907,nc 028758,paenibacillus lautus
1908,nc 028758,paenibacillus nanensis
1909,nc 028758,paenibacillus pabuli
1910,nc 028758,paenibacillus peoriae
1911,nc 028758,paenibacillus polymyxa
1912,nc 028758,paenibacillus popilliae
1913,nc 015585,pantoea agglomerans
1914,nc 019454,pantoea agglomerans
1915,nc 019504,pantoea agglomerans
1916,nc 019510,pantoea agglomerans
1917,nc 019514,pantoea agglomerans
1918,nc 042120,pantoea agglomerans
1919,nc 019504,pantoea ananatis
1920,nc 019510,pantoea ananatis
1921,nc 019514,pantoea ananatis
1922,nc 029012,parabacteroides distasonis
1923,nc 029014,parabacteroides merdae
1924,nc 016165,paracoccus denitrificans
1925,nc 026608,paracoccus marcusii
1926,nc 008193,pasteurella multocida
1927,nc 020201,pectobacterium atrosepticum
1928,nc 029081,pectobacterium atrosepticum
1929,nc 031096,pectobacterium atrosepticum
1930,nc 041854,pectobacterium atrosepticum
1931,nc 042131,pectobacterium atrosepticum
1932,nc 019522,pectobacterium carotovorum
1933,nc 023865,pectobacterium carotovorum
1934,nc 031068,pectobacterium carotovorum
1935,nc 041878,pectobacterium carotovorum
1936,nc 006936,pediococcus dextrinicus
1937,nc 006936,pediococcus pentosaceus
1938,nc 028758,pedobacter africanus
1939,nc 022751,phormidium foveolarum
1940,nc 028795,photobacterium damselae
1941,nc 029102,photobacterium damselae
1942,nc 028758,planomicrobium okeanokoites
1943,nc 029009,porphyromonas gingivalis
1944,nc 013021,prochlorococcus marinus
1945,nc 020835,prochlorococcus marinus
1946,nc 020872,prochlorococcus marinus
1947,nc 020874,prochlorococcus marinus
1948,nc 020878,prochlorococcus marinus
1949,nc 021559,prochlorococcus marinus
1950,nc 009541,propionibacterium acnes
1951,nc 018834,propionibacterium acnes
1952,nc 018838,propionibacterium acnes
1953,nc 018839,propionibacterium acnes
1954,nc 018840,propionibacterium acnes
1955,nc 018841,propionibacterium acnes
1956,nc 018842,propionibacterium acnes
1957,nc 018845,propionibacterium acnes
1958,nc 018847,propionibacterium acnes
1959,nc 018849,propionibacterium acnes
1960,nc 018851,propionibacterium acnes
1961,nc 018852,propionibacterium acnes
1962,nc 022334,propionibacterium acnes
1963,nc 022335,propionibacterium acnes
1964,nc 022336,propionibacterium acnes
1965,nc 022337,propionibacterium acnes
1966,nc 022338,propionibacterium acnes
1967,nc 022339,propionibacterium acnes
1968,nc 022340,propionibacterium acnes
1969,nc 022341,propionibacterium acnes
1970,nc 022342,propionibacterium acnes
1971,nc 027294,propionibacterium acnes
1972,nc 027295,propionibacterium acnes
1973,nc 027333,propionibacterium acnes
1974,nc 027336,propionibacterium acnes
1975,nc 027346,propionibacterium acnes
1976,nc 027347,propionibacterium acnes
1977,nc 027354,propionibacterium acnes
1978,nc 027357,propionibacterium acnes
1979,nc 027359,propionibacterium acnes
1980,nc 027361,propionibacterium acnes
1981,nc 027362,propionibacterium acnes
1982,nc 027367,propionibacterium acnes
1983,nc 027370,propionibacterium acnes
1984,nc 027371,propionibacterium acnes
1985,nc 027373,propionibacterium acnes
1986,nc 027376,propionibacterium acnes
1987,nc 027380,propionibacterium acnes
1988,nc 027385,propionibacterium acnes
1989,nc 027386,propionibacterium acnes
1990,nc 027389,propionibacterium acnes
1991,nc 027391,propionibacterium acnes
1992,nc 027392,propionibacterium acnes
1993,nc 027400,propionibacterium acnes
1994,nc 027401,propionibacterium acnes
1995,nc 027403,propionibacterium acnes
1996,nc 027405,propionibacterium acnes
1997,nc 027620,propionibacterium acnes
1998,nc 027621,propionibacterium acnes
1999,nc 027622,propionibacterium acnes
2000,nc 027623,propionibacterium acnes
2001,nc 027624,propionibacterium acnes
2002,nc 027625,propionibacterium acnes
2003,nc 027626,propionibacterium acnes
2004,nc 027627,propionibacterium acnes
2005,nc 027628,propionibacterium acnes
2006,nc 027629,propionibacterium acnes
2007,nc 027630,propionibacterium acnes
2008,nc 028694,propionibacterium acnes
2009,nc 028967,propionibacterium acnes
2010,nc 031003,propionibacterium acnes
2011,nc 031005,propionibacterium acnes
2012,nc 031084,propionibacterium acnes
2013,nc 031119,propionibacterium acnes
2014,nc 041954,propionibacterium acnes
2015,nc 041955,propionibacterium acnes
2016,nc 041956,propionibacterium acnes
2017,nc 041957,propionibacterium acnes
2018,nc 003460,propionibacterium freudenreichii
2019,nc 031076,propionibacterium freudenreichii
2020,nc 031108,propionibacterium freudenreichii
2021,nc 041890,propionibacterium freudenreichii
2022,nc 041891,propionibacterium freudenreichii
2023,nc 041892,propionibacterium freudenreichii
2024,nc 041893,propionibacterium freudenreichii
2025,nc 041894,propionibacterium freudenreichii
2026,nc 041895,propionibacterium freudenreichii
2027,nc 019452,proteus mirabilis
2028,nc 027342,proteus mirabilis
2029,nc 027363,proteus mirabilis
2030,nc 027375,proteus mirabilis
2031,nc 027379,proteus mirabilis
2032,nc 027390,proteus mirabilis
2033,nc 028762,proteus mirabilis
2034,nc 028795,proteus mirabilis
2035,nc 028812,proteus mirabilis
2036,nc 028916,proteus mirabilis
2037,nc 029102,proteus mirabilis
2038,nc 041925,proteus mirabilis
2039,nc 042090,proteus mirabilis
2040,nc 028795,proteus vulgaris
2041,nc 029102,proteus vulgaris
2042,nc 018832,providencia stuartii
2043,nc 021300,pseudoalteromonas arctica
2044,nc 021300,pseudoalteromonas atlantica
2045,nc 031917,pseudoalteromonas atlantica
2046,nc 021300,pseudoalteromonas marina
2047,nc 028819,pseudoalteromonas marina
2048,nc 029094,pseudoalteromonas marina
2049,nc 031908,pseudoalteromonas marina
2050,nc 021300,pseudoalteromonas nigrifaciens
2051,nc 021300,pseudoalteromonas phenolica
2052,nc 021300,pseudoalteromonas translucida
2053,nc 001331,pseudomonas aeruginosa
2054,nc 001418,pseudomonas aeruginosa
2055,nc 001628,pseudomonas aeruginosa
2056,nc 002484,pseudomonas aeruginosa
2057,nc 003278,pseudomonas aeruginosa
2058,nc 005045,pseudomonas aeruginosa
2059,nc 005178,pseudomonas aeruginosa
2060,nc 005884,pseudomonas aeruginosa
2061,nc 006548,pseudomonas aeruginosa
2062,nc 006552,pseudomonas aeruginosa
2063,nc 007623,pseudomonas aeruginosa
2064,nc 007805,pseudomonas aeruginosa
2065,nc 007806,pseudomonas aeruginosa
2066,nc 007807,pseudomonas aeruginosa
2067,nc 007808,pseudomonas aeruginosa
2068,nc 007809,pseudomonas aeruginosa
2069,nc 007810,pseudomonas aeruginosa
2070,nc 008717,pseudomonas aeruginosa
2071,nc 009818,pseudomonas aeruginosa
2072,nc 009935,pseudomonas aeruginosa
2073,nc 009936,pseudomonas aeruginosa
2074,nc 010116,pseudomonas aeruginosa
2075,nc 010325,pseudomonas aeruginosa
2076,nc 010326,pseudomonas aeruginosa
2077,nc 011107,pseudomonas aeruginosa
2078,nc 011165,pseudomonas aeruginosa
2079,nc 011166,pseudomonas aeruginosa
2080,nc 011373,pseudomonas aeruginosa
2081,nc 011611,pseudomonas aeruginosa
2082,nc 011613,pseudomonas aeruginosa
2083,nc 011756,pseudomonas aeruginosa
2084,nc 011810,pseudomonas aeruginosa
2085,nc 012418,pseudomonas aeruginosa
2086,nc 013691,pseudomonas aeruginosa
2087,nc 013692,pseudomonas aeruginosa
2088,nc 015294,pseudomonas aeruginosa
2089,nc 016073,pseudomonas aeruginosa
2090,nc 016762,pseudomonas aeruginosa
2091,nc 016765,pseudomonas aeruginosa
2092,nc 017674,pseudomonas aeruginosa
2093,nc 017864,pseudomonas aeruginosa
2094,nc 017865,pseudomonas aeruginosa
2095,nc 018274,pseudomonas aeruginosa
2096,nc 018282,pseudomonas aeruginosa
2097,nc 019450,pseudomonas aeruginosa
2098,nc 019451,pseudomonas aeruginosa
2099,nc 019813,pseudomonas aeruginosa
2100,nc 019913,pseudomonas aeruginosa
2101,nc 019918,pseudomonas aeruginosa
2102,nc 019935,pseudomonas aeruginosa
2103,nc 021531,pseudomonas aeruginosa
2104,nc 021783,pseudomonas aeruginosa
2105,nc 021801,pseudomonas aeruginosa
2106,nc 022091,pseudomonas aeruginosa
2107,nc 022096,pseudomonas aeruginosa
2108,nc 022746,pseudomonas aeruginosa
2109,nc 022966,pseudomonas aeruginosa
2110,nc 022967,pseudomonas aeruginosa
2111,nc 022970,pseudomonas aeruginosa
2112,nc 022971,pseudomonas aeruginosa
2113,nc 022974,pseudomonas aeruginosa
2114,nc 022986,pseudomonas aeruginosa
2115,nc 023575,pseudomonas aeruginosa
2116,nc 023583,pseudomonas aeruginosa
2117,nc 023700,pseudomonas aeruginosa
2118,nc 024123,pseudomonas aeruginosa
2119,nc 024140,pseudomonas aeruginosa
2120,nc 024330,pseudomonas aeruginosa
2121,nc 024381,pseudomonas aeruginosa
2122,nc 024782,pseudomonas aeruginosa
2123,nc 026586,pseudomonas aeruginosa
2124,nc 026587,pseudomonas aeruginosa
2125,nc 026594,pseudomonas aeruginosa
2126,nc 026599,pseudomonas aeruginosa
2127,nc 026600,pseudomonas aeruginosa
2128,nc 026601,pseudomonas aeruginosa
2129,nc 026602,pseudomonas aeruginosa
2130,nc 027345,pseudomonas aeruginosa
2131,nc 027375,pseudomonas aeruginosa
2132,nc 027384,pseudomonas aeruginosa
2133,nc 027388,pseudomonas aeruginosa
2134,nc 028652,pseudomonas aeruginosa
2135,nc 028657,pseudomonas aeruginosa
2136,nc 028667,pseudomonas aeruginosa
2137,nc 028695,pseudomonas aeruginosa
2138,nc 028745,pseudomonas aeruginosa
2139,nc 028770,pseudomonas aeruginosa
2140,nc 028795,pseudomonas aeruginosa
2141,nc 028809,pseudomonas aeruginosa
2142,nc 028817,pseudomonas aeruginosa
2143,nc 028836,pseudomonas aeruginosa
2144,nc 028879,pseudomonas aeruginosa
2145,nc 028882,pseudomonas aeruginosa
2146,nc 028885,pseudomonas aeruginosa
2147,nc 028908,pseudomonas aeruginosa
2148,nc 028919,pseudomonas aeruginosa
2149,nc 028931,pseudomonas aeruginosa
2150,nc 028933,pseudomonas aeruginosa
2151,nc 028939,pseudomonas aeruginosa
2152,nc 028971,pseudomonas aeruginosa
2153,nc 028980,pseudomonas aeruginosa
2154,nc 028999,pseudomonas aeruginosa
2155,nc 029009,pseudomonas aeruginosa
2156,nc 029010,pseudomonas aeruginosa
2157,nc 029019,pseudomonas aeruginosa
2158,nc 029033,pseudomonas aeruginosa
2159,nc 029083,pseudomonas aeruginosa
2160,nc 029101,pseudomonas aeruginosa
2161,nc 029102,pseudomonas aeruginosa
2162,nc 029106,pseudomonas aeruginosa
2163,nc 030908,pseudomonas aeruginosa
